time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,note,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2021-01-02T07:27Z,-22.0,15.0,25.0,372.0,S,True,2021-01-01T22:00:00-CME-001,"This CME analysis used STEREO A COR2 science data to measure the plane-of-sky speed. Using the visible source signature in SDO and possible CME fits in SWPC_CAT, a longitude was approximated and triangulation yielded the above 3D parameters. This measurement accounts for a more southward latitude based on the source signature.",M2M_CATALOG,null,2,StereoCAT,direct,,,,2021-01-05T16:38Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16316/-1
2021-01-02T16:52Z,-26.0,44.0,30.0,626.0,C,True,2021-01-02T11:24:00-CME-001,This CME analysis used STEREO A COR2 difference imagery in SWPC_CAT to derive 3D parameters. The longitude was approximated to be more towards the west based on the orientation of the faint partial halo observed in SOHO LASCO C3 imagery. This measurement accounts for a more southward latitude based on the source signature.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-01-05T16:35Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16317/-1
2021-01-03T13:26Z,-14.0,45.0,27.5,278.0,S,True,2021-01-02T23:36:00-CME-001,"In the difference images the CME is not well-defined in C3, so this measurement was taken with Cor2A images, where shape matches reasonably with C2 difference images.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-03T14:49Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16310/-1
2021-01-06T02:32Z,-13.6,-178.7,17.5,240.0,S,True,2021-01-05T12:09:00-CME-001,"No eruption source was visible, so determination of all fit parameters was eyeballed from rough orientations in both STEREO-A COR2 and SOHO C2.",M2M_CATALOG,BW,0,SWPC_CAT,running difference,,,,2021-01-05T20:09Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16323/-1
2021-01-06T12:33Z,15.0,44.0,31.0,529.0,C,True,2021-01-06T04:24:00-CME-001,"These preliminary CME parameters were derived using SWPC_CAT based on the orientation of the CME in the available coronagraph imagery. An appropriate fit could be made using longitudes ranging from 35 to 55 degrees. Thus, the chosen longitude of 44 degrees is an approximation and uncertain due to the lack of a visible source signature in available EUV imagery.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-06T21:22Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16328/-1
2021-01-07T11:23Z,16.0,36.0,12.0,326.0,S,True,2021-01-07T01:36:00-CME-001,"No definitive eruptive source could be identified on the solar disk. Numerous StereoCat and SWPC_CAT analyses resulted in possible longitudes ranging from +29 to +43 degrees, and the average result from SWPC_CAT was used for the longitude.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-12T13:21Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16333/-1
2021-01-08T14:44Z,-15.0,58.0,33.0,430.0,S,True,2021-01-08T05:24:00-CME-001,This CME was analyzed using STEREO A COR2 and SOHO LASCO C3 difference imagery. An appropriate fit for this CME was found when using longitudes between 55 and 65 degrees. An estimated longitude of 58 degrees yielded the best fit and the speed was measured by tracking the leading-edge of the CME slightly behind its visible bright shock.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-01-08T19:53Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16337/-1
2021-01-09T10:22Z,4.0,38.0,22.0,173.0,S,True,2021-01-08T15:12:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-09T13:58Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16340/-1
2021-01-21T07:41Z,-9.0,45.0,24.5,345.0,S,True,2021-01-20T20:24:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-21T18:54Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16371/-1
2021-01-23T12:24Z,-9.0,50.0,29.0,246.0,S,True,2021-01-22T18:48:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-23T13:33Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16375/-1
