hssID,eventTime,instruments,submissionTime,versionId,link,linkedEvents
2021-01-05T09:54:00-HSS-001,2021-01-05T09:54Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}]",2021-01-07T15:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16331/-1,[{'activityID': '2021-01-05T12:20:00-IPS-001'}]
2021-01-11T08:22:00-HSS-001,2021-01-11T08:22Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-01-11T20:57Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16347/-1,
2021-01-20T10:00:00-HSS-001,2021-01-20T10:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-01-20T19:30Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16365/-1,
2021-01-25T07:11:00-HSS-001,2021-01-25T07:11Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-01-25T19:46Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16378/-1,[{'activityID': '2021-01-27T11:45:00-RBE-001'}]
2021-02-01T21:30:00-HSS-001,2021-02-01T21:30Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-02-03T20:51Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16417/-1,[{'activityID': '2021-02-06T14:35:00-RBE-001'}]
2021-02-02T19:23:00-HSS-001,2021-02-02T19:23Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-02-03T21:06Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16421/-1,
2021-02-06T16:30:00-HSS-001,2021-02-06T16:30Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-02-08T19:13Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16444/-1,
2021-02-13T00:16:00-HSS-001,2021-02-13T00:16Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-02-15T19:20Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16466/-1,
2021-02-16T14:58:00-HSS-001,2021-02-16T14:58Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}]",2021-02-18T16:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16486/-1,
2021-02-16T07:40:00-HSS-001,2021-02-16T07:40Z,[{'displayName': 'STEREO A: PLASTIC'}],2021-02-18T16:32Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16487/-1,
2021-02-19T10:00:00-HSS-001,2021-02-19T10:00Z,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]",2021-02-20T16:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16503/-1,[{'activityID': '2021-02-21T05:35:00-RBE-001'}]
2021-02-25T14:00:00-HSS-001,2021-02-25T14:00Z,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]",2021-02-26T00:36Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/HSS/16531/-1,
