catalog,activityID,location,eventTime,submissionTime,versionId,link,instruments
M2M_CATALOG,2021-01-05T12:20:00-IPS-001,Earth,2021-01-05T12:20Z,2021-01-05T20:32Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16320/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-02-23T10:32:00-IPS-001,STEREO A,2021-02-23T10:32Z,2021-02-24T17:13Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16527/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-02-28T23:03:00-IPS-001,Earth,2021-02-28T23:03Z,2021-03-01T13:17Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16551/-1,[{'displayName': 'DSCOVR: PLASMAG'}]
M2M_CATALOG,2021-03-24T10:03:00-IPS-001,STEREO A,2021-03-24T10:03Z,2021-03-24T14:53Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16656/-1,"[{'displayName': 'STEREO A: PLASTIC'}, {'displayName': 'STEREO A: IMPACT'}]"
M2M_CATALOG,2021-03-24T19:18:00-IPS-001,Earth,2021-03-24T19:18Z,2021-03-25T20:12Z,6,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16655/-1,[{'displayName': 'DSCOVR: PLASMAG'}]
M2M_CATALOG,2021-03-26T21:35:00-IPS-001,Earth,2021-03-26T21:35Z,2021-03-30T18:19Z,6,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16673/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-04-07T06:22:00-IPS-001,Earth,2021-04-07T06:22Z,2021-04-07T20:06Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16692/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-04-15T03:28:00-IPS-001,Earth,2021-04-15T03:28Z,2021-04-15T13:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16728/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-04-16T14:43:00-IPS-001,Earth,2021-04-16T14:43Z,2021-04-16T19:59Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16734/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-04-24T22:24:00-IPS-001,Earth,2021-04-24T22:24Z,2021-04-25T12:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16784/-1,[{'displayName': 'DSCOVR: PLASMAG'}]
M2M_CATALOG,2021-04-28T02:58:00-IPS-001,STEREO A,2021-04-28T02:58Z,2021-04-28T16:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16806/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-04-30T01:48:00-IPS-001,STEREO A,2021-04-30T01:48Z,2021-04-30T15:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16816/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-05-01T12:50:00-IPS-001,Earth,2021-05-01T12:50Z,2021-05-11T15:05Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16882/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-05-10T21:30:00-IPS-001,STEREO A,2021-05-10T21:30Z,2021-05-11T20:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16886/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-05-12T05:48:00-IPS-001,Earth,2021-05-12T05:48Z,2021-05-12T12:15Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16888/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-05-12T16:40:00-IPS-001,STEREO A,2021-05-12T16:40Z,2021-05-14T13:41Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16900/-1,[{'displayName': 'STEREO A: IMPACT'}]
M2M_CATALOG,2021-05-20T08:45:00-IPS-001,Earth,2021-05-20T08:45Z,2021-05-20T18:04Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16922/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-05-25T19:35:00-IPS-001,STEREO A,2021-05-25T19:35Z,2021-05-27T17:00Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16992/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-05-26T11:37:00-IPS-001,Earth,2021-05-26T11:37Z,2021-05-26T21:14Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/16989/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-06-02T12:20:00-IPS-001,Earth,2021-06-02T12:20Z,2021-06-10T20:58Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17033/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-06-07T06:16:00-IPS-001,Earth,2021-06-07T06:16Z,2021-06-07T12:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17058/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-06-15T12:06:00-IPS-001,Earth,2021-06-15T12:06Z,2021-06-15T15:14Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17082/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-06-19T20:55:00-IPS-001,STEREO A,2021-06-19T20:55Z,2021-06-21T16:52Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17118/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-06-20T11:21:00-IPS-001,Earth,2021-06-20T11:21Z,2021-06-24T17:00Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17138/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-06-27T04:00:00-IPS-001,STEREO A,2021-06-27T04:00Z,2021-06-27T16:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17153/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-06-30T02:42:00-IPS-001,Earth,2021-06-30T02:42Z,2021-06-30T18:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17178/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-07-01T02:30:00-IPS-001,Earth,2021-07-01T02:30Z,2021-07-02T18:49Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17187/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-07-10T00:31:00-IPS-001,Earth,2021-07-10T00:31Z,2021-07-10T14:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17260/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-07-14T10:00:00-IPS-001,Earth,2021-07-14T10:00Z,2021-07-14T12:35Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17294/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
